Actors1,Actors2,Actors3,Actors4,Actors5,Actors6,Actors7,Budget,Dialogue,Director,First_Day,First_Week,First_Weekend,Genre,India_Gross,Lyrics,Music,Producer,Production_Banner,Release_Date,Runtime,Screenplay,Screens,Story,Title
Kalyani Thakkar,Durgesh Nandini,Sanjay M. Singh,NA,Gufi Paintal,Joginder,NA,5500000,Shyam Soni,Dilip Gulati,500000,2200000,1350000,Action,7100000,NA,Sunil - Raj,Gautam Dhariwal,Makewell Films,01-Sep-00,108,Shyam Soni,30,Shyam Soni,The Revenge Geeta Mera Naam
Satnam Kaur,NA,NA,NA,NA,NA,NA,3500000,Siddique Durrani,Willy - Raja,325000,1400000,850000,Action,4100000,Siddique Durrani,Nishad Vaidya,Ramesh K. Doshi,R.D. Films,25-Aug-00,117,Siddique Durrani,25,Siddique Durrani,Rani Mera Naam
Mithun Chakraborty,Ravi Kissen,NA,NA,NA,NA,NA,10000000,Meeraq Mirza,Manish Khandelwal,1050000,4600000,2800000,Action,13300000,Kukku Prabhas,Bappi Lahiri,"Rishikesh Dhari Sinha,Farooq",Titwala Productions,04-Aug-00,105,Meeraq Mirza,65,Meeraq Mirza,Justice Chowdhary
Adi Irani,NA,NA,NA,NA,"

",NA,2000000,Anis Javed,Vicky,--,--,--,Adult,1700000,"Kaku,Vicky",Kaku,Suleman Khan,G.S. Films,18-Aug-00,100,Anis Javed,8,Anis Javed,Bandh Kamre Mein
"





",NA,NA,NA,NA,NA,NA,2000000,NA,Dinesh Thakkar,--,--,--,Horror,650000,Raj Kumar,Raj Kumar,Rajendra Singh,Karishma Pictures,18-Aug-00,103,NA,2,NA,Murde Ki Maut
Durgesh Nandini,NA,NA,NA,NA,NA,NA,2500000,Bashir Babbar,Ramesh Lakhiani,--,--,--,Action,2225000,NA,Ghulam Ali Chander,Bhagat Singh,Bhagat Film Production,04-Aug-00,107,Bashir Babbar,12,Bashir Babbar,Bijlee
Prithvi,NA,NA,NA,NA,NA,NA,2500000,S. Sachindra,Kumar Jay,--,--,--,Drama,1600000,NA,Pappu Khan,Manoj Jaiswal,J.S.B. Films,28-Jul-00,0,S. Sachindra,5,S. Sachindra,Kothewali
Soheil Khan,NA,NA,NA,NA,NA,"

",2000000,Khalid Sheikh,K.I. Shaikh,--,--,--,Horror,1100000,"Shyam Anuragi,Visshuraj",Ghulam Ali Chander,M. Kartik,Heena Films,28-Jul-00,98,Khalid Sheikh,4,Khalid Sheikh,Saamri
Seema Sidhu,NA,NA,NA,NA,NA,NA,2500000,Thakur Tapasvi,Thakur Tapasvi,--,--,--,Action,1500000,Thakur Tapasvi,A. Rehman,"Mohini Arora,Sudarshan",Sargam Movies,28-Jul-00,128,Thakur Tapasvi,3,Thakur Tapasvi,Lady Dacait
Ranveer Singh,Arjun Kapoor,Priyanka Chopra,Irrfan Khan,Saurabh Shukla,Manu Rishi Chadha,Pankaj Tripathi,510000000,"Sanjay Masoom,Ali Abbas Zafar",Ali Abbas Zafar,148200000,580500000,402600000,Masala,983700000,Irshad Kamil,Sohail Sen,Aditya Chopra,Yash Raj Films,14-Feb-14,153,Ali Abbas Zafar,2700,Ali Abbas Zafar,Gunday
Shivaji Satam,Reema Lagoo,Sunil Bharve,Dilip Prabhavalkar,Shama Deshpande,Sunil Shende,Mohan Joshi,7500000,Gautam Joglekar,Mahesh Manjrekar,650000,2900000,1850000,Drama,4900000,Gautam Joglekar,Rahul Ranade,R.V. Pandit,Pan Pictures,28-Jul-00,146,Mahesh Manjrekar,35,Mahesh Manjrekar,Nidaan
Krishan Kumar,Nagma,Laxmikant Berde,Satish Kaushik,Mahavir Shah,Anil Dhawan,Shama Deshpande,17500000,Nawab Arzoo,K. Bhagyaraj,700000,3125000,2000000,Drama,6700000,"Sameer,Maya Govind,Faiz Anwar,Babu Singh Mann",Nikhil - Vinay,Gulshan Kumar,Super Cassettes Industries Pvt. Ltd.,28-Jul-00,143,K. Bhagyaraj,80,K. Bhagyaraj,Papa The Great
Munish,NA,NA,NA,NA,NA,NA,1500000,Rajesh Mittal,Rajesh Mittal,--,--,--,Drama,850000,Shyam Anuragi,Arvind - Krishna,"Yogesh Sachdeva,Ashok Kheterpal,Ashok Kheterpal,Deepak Sharma",Punj Films,28-Jul-00,113,Rajesh Mittal,1,Rajesh Mittal,Ek Nari Do Roop
Satnam Kaur,NA,NA,NA,NA,NA,NA,1500000,NA,Ramesh Lakhiani,--,--,--,Horror,1275000,NA,Ghulam Ali Chander,Bhagat Singh,Bhagat Film Production,21-Jul-00,104,NA,2,NA,Kabrastan
Jawed Khan,NA,NA,NA,NA,NA,NA,2000000,J.K. Ahuja,Hemant - Kamal,--,--,--,Horror,1650000,"Ramesh Jain,Shakir Shaikh,Madhu Godapatil",Dilip Dutta,"Arvind Agrawal,Dinesh Darak",K.K. Movies,21-Jul-00,106,J.K. Ahuja,5,J.K. Ahuja,Kaala Mandir
Sandhya Mehra,NA,NA,NA,NA,NA,NA,1500000,Manoj Sinha,Pappu Bahruz,--,--,--,Mystery,212500,"Jamil Paikar,K. Shailendra,Manohar Iyer,Qadil Usmani",Dharmen Padiya,Virendra Singh Reen,Chhotu Films,31-Mar-00,84,Manoj Sinha,1,Naresh Namdev,Aakhri Raat
Raj Devgan,NA,NA,NA,NA,NA,NA,2000000,Abbas Ali,Abbas Ali,--,--,--,Drama,1900000,"Abhilash,Vicky Sonal","Rakesh Tiwari,Anil Bose","Ansari Amrohi,K. Kumar",Movie Maker Combines,07-Jul-00,104,Abbas Ali,6,Abbas Ali,Haseeno Ka Mela
Satnam Kaur,Arvindo,NA,NA,NA,NA,NA,3500000,Siddique Durrani,Willy - Raja,300000,1300000,800000,Drama,4100000,Siddique Durrani,Nishad Vaidya,J. Neelam,Deep Jyoti Films,14-Jul-00,129,Willy - Raja,30,Siddique Durrani,Daku Dilruba
Sapna,Amit Pachori,Rajni Chandra,NA,NA,Mohan Joshi,NA,3000000,NA,Kishan Shah,--,1300000,--,Drama,4050000,Zail Singh,Priyesh Vakil,"Shakuntala Gohil,Nath Gomare",5001 Films,14-Jul-00,83,NA,30,NA,Jai Bhawani
Devendra Dua,NA,NA,NA,NA,"

",NA,1500000,Devendra Dua,Devendra Dua,--,--,--,Drama,625000,Aasrif Dehlvi,Durga - Natraj,Shakuntala Dua,Mukta Products,23-Jun-00,110,Devendra Dua,3,Devendra Dua,Yeh Hai Prem Janjaal
Nargis,Vishal Rajan,NA,NA,NA,NA,"

",2000000,Dayanand Rajan,Dayanand Rajan,--,--,--,Drama,1350000,Afsar,M. Harish,Bhupeshwar Tyagi,West Wind Film Company,07-Jul-00,133,Dayanand Rajan,8,Dayanand Rajan,Raat Rani
Durgesh Nandini,Rajni Chandra,Prithvi,NA,Kiran Kumar,NA,Deepak Shirke,4500000,Bashir Babbar,Jitendra Chawda,375000,1700000,1025000,Action,6200000,Zail Singh,Sawan Kumar Sawan,Kajal Mukherjee,Ishwar Films,23-Jun-00,139,Bashir Babbar,35,Bashir Babbar,Champakali
Ram Asra,NA,NA,NA,NA,NA,NA,4000000,Mohan Bhakri,Mohan Bhakri,425000,1850000,1150000,Mystery,4700000,"Dev Kohli,Visshuraj,Gul K. Achhra",Nadeem - Shravan,Kishore Arora,Orison Production,02-Jun-00,129,Mohan Bhakri,25,Mohan Bhakri,Apradhi Kaun?
Anjali Kolhapuri,NA,NA,NA,NA,NA,NA,2500000,Prem Kumar Sharma,Teerat Singh Johar,--,--,--,Drama,1700000,"Kumar Anjum,Lalit Tara",Sawan Kumar Sawan,Vimal Jain,Nishu Arts,02-Jun-00,109,Prem Kumar Sharma,9,Prem Kumar Sharma,Sultana Mera Naam
Mithun Chakraborty,NA,NA,NA,NA,NA,NA,12500000,Anwar Khan,Imran Khalid,900000,4000000,2400000,Action,13200000,Visshuraj,Ghulam Ali Chander,Vijay Kapoor,Vijay Films Syndicate,02-Jun-00,0,Khalid Majeed,60,Khalid Majeed,Sabse Bada Beimaan
Micky Shetty,NA,NA,NA,NA,"

",NA,1500000,NA,Dilip Gulati,--,--,--,Horror,1300000,NA,Babu Kishen,Dilip Gulati,Promise Pictures,26-May-00,0,NA,3,Aasif Albela,Khoon No. 1
Sapna,NA,NA,NA,NA,NA,NA,3000000,Prem Kumar Sharma,Kishan Shah,325000,1350000,850000,Drama,4200000,Zail Singh,Priyesh Vakil,"Shakuntala Gohil,Nath Gomare",5001 Films,19-May-00,83,Prem Kumar Sharma,12,Prem Kumar Sharma,Daku Sultana
Prithvi,NA,NA,"

",NA,NA,NA,2500000,Rajesh Mittal,Rajesh Mittal,--,--,--,Horror,1450000,Surendra Shrivastav,Prem Kumar Sharma,Rajesh Mittal,Nirmala Movietone,19-May-00,0,Rajesh Mittal,10,Rajesh Mittal,Daak Bangla
Amar Upadhyay,NA,NA,NA,NA,NA,NA,3500000,Naeem - Ejaz,Sailesh Konchady,--,1800000,--,Horror,4600000,"Sunil Jha,Asad Ajmeri","Deepak Anand,Sunil - Raj",Arun Rawal,Cine Films,05-May-00,0,Naeem - Ejaz,25,Naeem - Ejaz,Dahshat
Durgesh Nandini,NA,NA,NA,NA,NA,NA,5000000,Bashir Babbar,Bashir Babbar,750000,3100000,2000000,Drama,8200000,Sawan Kumar Sawan,Sawan Kumar Sawan,"Bashir Babbar,Ramesh Lakhiani",S.R.F. Movies,28-Apr-00,119,Bashir Babbar,40,Bashir Babbar,Basanti
Rishabh,NA,NA,NA,NA,NA,NA,2500000,N. Joshi,N. Joshi,--,--,--,Mystery,1700000,NA,Uday Kamat,L.M. Khan,Victory Films Enterprises,24-Mar-00,103,N. Joshi,5,N. Joshi,Rahasya
Prithvi,NA,NA,NA,NA,NA,NA,4500000,Bashir Babbar,Jitendra Chawda,500000,2300000,1400000,Horror,7800000,Zail Singh,Sawan Kumar Sawan,Kajal Mukherjee,Ishwar Films,21-Apr-00,0,Bashir Babbar,30,Bashir Babbar,Bhootraaj
Sheeba,NA,NA,NA,NA,NA,NA,2500000,"Hashmat Siddiqui,Khalid Majeed",Israr Ahmed,--,--,--,Horror,1050000,"Kulwant Jani,Nayyer Jaunpuri",Babloo Raj Babloo,Israr Ahmed,I.A. Films,31-Mar-00,112,"Khalid Majeed,Hashmat Siddiqui",8,"Khalid Majeed,Hashmat Siddiqui",Bhootni
Sampat Pal Devi,NA,NA,"

",NA,NA,NA,2000000,NA,Nishtha Jain,--,--,--,Documentary,337500,NA,NA,Torstein Grude,Final Cut For Real,21-Feb-14,96,"Nishtha Jain,Torstein Grude,Smriti Nevatia",12,"Nishtha Jain,Torstein Grude,Smriti Nevatia",Gulabi Gang
Arif Zakaria,Prashant Narayanan,Gaurav Dixit,Mahi Khanduri,Aman Verma,Nazneen Patel,Naseer Abdullah,20000000,Meeraq Mirza,Jay Prakash,300000,1375000,950000,Drama,2000000,Sandeep Nath,"Shamir Tandon,Ankit Tiwari","Y.K. Sharma,Roli Prakash",Mishka Milenium Moovies,21-Feb-14,138,Meeraq Mirza,175,Meeraq Mirza,Dee Saturday Night
Jimmy Shergill,Nushrat Bharucha,Arif Zakaria,Neeraj Khetarpal,Nivedita Bhattacharya,Vikram Bhardwaj,Geet Sharma,160000000,"Agrim Joshi,Vinod Rawat",Pawan Kirpalani,11700000,53100000,36100000,Horror,78400000,Amitabh Bhattacharya,Shankar - Ehsaan - Loy,Abhimanyu Singh,Contiloe Pictures Pvt. Ltd.,21-Feb-14,124,"Pawan Kirpalani,Agrim Joshi",1200,"Pawan Kirpalani,Agrim Joshi",Darr @ The Mall
Randeep Hooda,Alia Bhatt,Arjun Malhotra,Durgesh Kumar,Pradeep Nagar,Saharsh Kumar Shukla,NA,250000000,Imtiaz Ali,Imtiaz Ali,32100000,212700000,128300000,Drama,379500000,Irshad Kamil,A.R. Rehman,NA,Nadiadwala Grandson Entertainment,21-Feb-14,133,Imtiaz Ali,750,Imtiaz Ali,Highway
Rekha Gautam,Ajay,Versha,Sonu Chaudhary,Subodh Govil,NA,NA,2000000,Subodh Govil,Subodh Govil,--,--,--,Drama,1025000,"Dhanraj Dadhich,Subodh Govil",Suresh Mathur,Subodh Govil,Govil Films,10-Jan-14,94,Subodh Govil,10,Subodh Govil,Swarg Aashram
Mahek Chahal,Tarun Arora,Jyoti Rana,Shashi Vaidya,NA,NA,NA,8500000,Shashi Vaidya,Sabir Shaikh,--,--,--,Thriller,5800000,NA,NA,Shashi Vaidya,Shri Cine Arts,24-Jan-14,120,Shashi Vaidya,1,Shashi Vaidya,Karar - The Deal
Kunal Singh,Sonali Bendre,Anupam Kher,Johny Lever,M. Naseer,Kalpana Iyer,NA,10000000,Umesh Sharma,Kathir,725000,3400000,2200000,Love Story,9000000,Mehboob,A.R. Rehman,A.M. Rathnam,Sri Surya Movies,21-Apr-00,142,Kathir,30,Kathir,Dil Hi Dil Mein
Shahnawaz Khan,Shilpa Gupta,Fahim Khan,NA,"

",NA,NA,2500000,NA,Laljibhai Patel,--,--,--,Adult,1100000,Salim Bijnori,Jayant Aaryan,"Tubba Khan,Laxman Patel",IDC Group Of Company ,08-Nov-13,79,Zehra Banno,10,Zehra Banno,Tu Bewafa Hai
Sapna,Satnam Kaur,NA,NA,NA,NA,NA,2500000,NA,Kishan Shah,--,1150000,--,Action,3700000,Zail Singh,Priyesh Vakil,Shakuntala Gohil,5001 Films,17-Mar-00,103,NA,20,NA,Heerabai
Raj Kiran,NA,NA,NA,NA,NA,NA,2000000,Nasira Sharma,Shiv Kumar,--,--,--,Devotional,225000,Ravindra Jain,Ravindra Jain,"K.C. Goyal,Mukesh Goyal",K.D.K. Films Production Ltd,03-Mar-00,149,Mulraj Rajda,1,Mulraj Rajda,Jai Shakumbhari Maa
Yugraj Jain,NA,NA,NA,NA,NA,NA,1000000,Khaleed Jameel,M. Khan,--,--,--,Mystery,325000,Shahab Allahabadi,"S. Paul,Jeetu - Tapan",NA,Shree Parshuram Movies,25-Feb-00,108,Khaleed Jameel,3,Khaleed Jameel,Ek Aur Maut
Vinod Zala,NA,NA,NA,NA,NA,"

",1000000,Naresh Gupta,Naresh Gupta,--,--,--,Drama,625000,NA,Kewal Singh,Naresh Gupta,Gupta Productions,10-Mar-00,0,Naresh Gupta,3,Naresh Gupta,Adhuri Suhaag Raat
Lalitesh,NA,NA,NA,NA,NA,"

",1750000,Dinesh Rai,Chandini Gupta,--,--,--,Horror,1125000,Muzaffar Rampuri,S. Prabhath,Chandini Gupta,Sachi Arts,18-Feb-00,61,Dinesh Rai,8,Dinesh Rai,Maut Ki Raat
Sapna,Shakti Kapoor,NA,NA,NA,NA,NA,6000000,Bashir Babbar,"Kanti Shah,Gulab Shaikh",1000000,4700000,2900000,Action,17100000,"Zail Singh,Dev Kohli,Satya Prakash",Sawan Kumar Sawan,Gulab Shaikh,Gulab Films,18-Feb-00,134,Bashir Babbar,55,Bashir Babbar,Daku Ramkali
Mithun Chakraborty,NA,NA,NA,NA,NA,NA,12500000,Anwar Khan,Vijay Reddy,1200000,5000000,3100000,Action,15100000,Anand Bakshi,Nikhil - Vinay,Jawahar Kaul,J.K. Movie Unit,04-Feb-00,134,Anwar Khan,75,Anwar Khan,Agni Putra
Rahul,NA,NA,NA,NA,NA,NA,2500000,Ismail Inamdar,Rajesh Mittal,150000,675000,450000,Drama,1800000,"Deepak Sneh,Indeevar,O.P. Singh",Bappi Lahiri,Rajesh Mittal,Nirmala Movietone,04-Feb-00,128,Rajesh Mittal,20,Rajesh Mittal,Aatank Raj
Satnam Kaur,NA,NA,NA,NA,NA,NA,4500000,Bashir Babbar,Jitendra Chawda,850000,3600000,2300000,Action,12600000,Zail Singh,Sawan Kumar Sawan,Kajal Mukherjee,Ishwar Films,28-Jan-00,106,Bashir Babbar,40,Bashir Babbar,Johrabai
Abhishek Kapoor,Ayesha Jhulka,Vikas Bhalla,Anupam Kher,Gulshan Grover,Shakti Kapoor,Laxmikant Berde,6000000,Shyam Goel,Bobby Raaj,--,--,--,Mystery,600000,Majrooh Sultanpuri,Anand - Milind,Bobby Raaj,Raaj N Raaj Combines,28-Jan-00,135,Shyam Goel,2,Shyam Goel,Shikaar
NA,NA,NA,NA,NA,NA,NA,2500000,NA,NA,350000,1575000,975000,Drama,4400000,NA,NA,NA,Paras Productions,21-Jan-00,71,NA,15,NA,Mere Aagosh Mein
Sudesh Berry,Raj Dhanoa,NA,NA,NA,Sheetal Bedi,NA,3500000,S. Sachindra,Ram Pratap Sharma,300000,1200000,775000,Drama,3300000,Dilip Tahir,Bappi Lahiri,H.S. Taneja,Asian Film Corporation,07-Jan-00,127,S. Sachindra,20,S. Sachindra,Shankar Shambhu
Natasha Sikka,NA,NA,NA,NA,NA,"

",3000001,Shiraz Henry,Shiraz Henry,--,--,--,Drama,3000000,Anjan Saagari,Abu Zar,"Rebecca Changkija,Ajay Najat",Find Studioz,28-Feb-14,128,Shiraz Henry,15,Shiraz Henry,The Dark Secrets Of Tonhi
Disha Chaudhary,Rahul Jain,Sachin Khedekar,Manoj Joshi,Raju Mavani,NA,NA,17500000,V.K. Shankar,Raju Mavani,--,470000,--,Drama,675000,Faiz Anwar,Farzan Faaiz,Disha Chaudhary,Shiv Shakti Entertainment Production,28-Feb-14,128,Raju Mavani,100,Divakar Shetty,Anuradha - Aur Uski Kahaani
Farhan Akhtar,Vidya Balan,Ram Kapoor,Vir Das,Rati Agnihotri,Purab Kohli,Ila Arun,430000000,Arshad Syed,Saket Chaudhary,56600000,308000000,211700000,Rom - Com,511800000,"Amitabh Bhattacharya,Mayur Puri,Swanand Kirkire",Pritam,"Ekta Kapoor, Shobha Kapoor,Rangita Pritish Nandy,Pritish Nandy",Balaji Motion Pictures,28-Feb-14,145,"Zeenat Lakhani,Arshad Syed,Saket Chaudhary",1900,"Saket Chaudhary,Zeenat Lakhani",Shaadi Ke Side Effects
Sanjay Pundir,NA,NA,NA,Mushtaq Khan,NA,NA,1500000,Shailendra Singh Rajput,Shailendra Singh Rajput,--,--,--,Drama,65000,"S.R. Bharti,Yusuf Khan",Vinod - Prakash - Ashish,Vinod Singh,M. Films Creation,14-Feb-14,0,Shailendra Singh Rajput,2,Shailendra Singh Rajput,Pyaar Ka Live Show
Yugraj Jain,NA,NA,NA,"

",NA,NA,2000000,Yugraj Jain,Sanjeev Nanda,--,--,--,Drama,300000,Yugraj Jain,Aman Shlok,Yugraj Jain,Hind Pictures,07-Feb-14,0,Yugraj Jain,2,Yugraj Jain,Ab To Sambhal
Sahil Pathan,NA,NA,NA,NA,"

",NA,1500000,Dinesh Parihar,Dinesh Parihar,--,--,--,Drama,230000,Dinesh Parihar,"Baba Jagirdar,Harish Sharma","Sahil Pathan,Chand Pathan",Pathan Production,28-Feb-14,0,Dinesh Parihar,1,Dinesh Parihar,Anna Ka Andolan
Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Yogendra Tikku,NA,NA,NA,230000000,"Kangana Ranaut,Anvita Dutt",Vikas Bahl,17000000,185400000,100000000,Drama,816800000,Anvita Dutt,Amit Trivedi,"Anurag Kashyap,Vikramaditya Motwane",Phantom Films,07-Mar-14,146,"Chaitally Parmar,Parvez Sheikh,Vikas Bahl",800,"Vikas Bahl,Parvez Sheikh,Chaitally Parmar",Queen
Ali Zafar,Yami Gautam,Anupam Kher,Kirron Kher,Sarah Khan,Visshwa Badola,Anuj Pandit,170000000,Neeraj Pandey,E. Niwas,10700000,54000000,39800000,Rom - Com,77200000,"Kumaar,Ali Zafar,Aqeel Rubi",Ali Zafar,Shital Bhatia,AKA Pictures Company Limited,07-Mar-14,108,Neeraj Pandey,850,Neeraj Pandey,Total Siyaapa
Madhuri Dixit,Juhi Chawla,Divya Jagdale,Priyanka Bose,Tannishtha Chatterjee,Deepak Dadhwal,Atul Srivastava,290000000,"Amitosh Nagpal,Soumik Sen",Soumik Sen,16100000,93300000,62700000,Drama,142100000,"Shreya Narayan,Neha Saraf,Soumik Sen",Soumik Sen,Anubhav Sinha,Benaras Mediaworks,07-Mar-14,139,Soumik Sen,1700,Soumik Sen,Gulaab Gang
Shahana Chaterjee,NA,NA,NA,NA,"

",NA,5000000,Shomshuklla Das,Shomshuklla Das,--,--,--,Drama,67500,NA,Ankur Mukherjee,Bhaskar Das,Cut To Cut,14-Mar-14,85,Shomshuklla Das,15,Shomshuklla Das,Sandcastle
Leeza Mangaldas,Lezlie Tripathy,Sonal Giani,Raj Singh Arora,Abhey Attri,Danish Pandor,Gagan Gupta,15000000,Tarun Madan Chopra,Tarun Madan Chopra,250000,1335000,875000,Thriller,2000000,Daboo Malik,Daboo Malik,"Subhash Sehgal,Shivang Sehgal",Legacy Film Productions,14-Mar-14,127,Tarun Madan Chopra,150,Daboo Malik,W
Sunny Singh,Hritu Dudani,Gavie Chahal,Arbaaz Ali Khan,Rufy Khan,Shakti Kapoor,NA,17500000,Yunus Khan,Shyam Ramsay,800000,3975000,2500000,Horror,5900000,NA,Deepak Shah,"Shyam Ramsay,Subhash Dawar",Ramsay Entertainment,14-Mar-14,123,Shyam Ramsay,225,Shyam Ramsay,Neighbours
Rishi Kapoor,Ayushman Khurana,Sonam Kapoor,Gurpal Singh,Pratap Hada,Swedha Singh,T.S. Sidhu,220000000,Habib Faisal,Nupur Asthana,22100000,126700000,72300000,Rom - Com,187900000,Anvita Dutt,Raghu Dixit,Aditya Chopra,Yash Raj Films,14-Mar-14,119,Habib Faisal,1100,Habib Faisal,Bewakoofiyaan
Paritosh Goswami,NA,NA,NA,"

",NA,NA,7500000,Paritosh Goswami,Paritosh Goswami,--,--,--,Love Story,170000,"Piyush Kanojia,Patric Wilson,Paritosh Goswami",Piyush Kanojia,Paritosh Goswami,Paritosh Productions,21-Mar-14,107,Paritosh Goswami,50,Paritosh Goswami,Kabhi Yun Bhi Toh Ho...
Monali Thakur,Shefali Shah,Ram Kapoor,Nagesh Kukunoor,Satish Kaushik,Fllora Saini,Vibha Chibber,40000000,Nagesh Kukunoor,Nagesh Kukunoor,400000,2525000,1700000,Drama,3900000,Manoj Yadav,Tapas Relia,NA,Kukunoor Movies,21-Mar-14,115,Nagesh Kukunoor,100,Nagesh Kukunoor,Lakshmi
Sanjay Mishra,Rajat Kapoor,Seema Pahwa,Taranjeet Kaur,Mayo Sarao,Namit Das,Brijendra Kala,47500000,Rajat Kapoor,Rajat Kapoor,800000,5750000,3700000,Drama,11100000,Varun Grover,Sagar Desai,Manish Mundra,Mithya Talkies,21-Mar-14,107,Rajat Kapoor,150,Rajat Kapoor,Ankhon Dekhi
Sharman Joshi,Mahie Gill,Anupam Kher,Saurabh Shukla,Meera Chopra,Jackie Shroff,Asrani,160000000,"Rajesh Chawla,Satish Kaushik,Manoj Santoshi",Satish Kaushik,3200000,17050000,11200000,Comedy,24300000,"Satish Kaushik,Vikas Kumar,Rashmi Singh,Qateel Shifai",Dharam - Sandeep,"Ratan Jain,Satish Kaushik,Ganesh Jain",The Satish Kaushik Entertainment,21-Mar-14,128,"Amrish Shah,Satish Kaushik",900,NA,Gang Of Ghosts
Sunny Leone,Sahil Prem,Pravin Dabbas,Karan Mehra,Sandhya Mridul,Divya Dutta,Sonia Mehra,190000000,Ishita Mohitra,Bhushan Patel,79600000,369400000,229000000,Horror,627500000,"Kumaar,Honey Singh,Manoj Yadav","Chirantan Bhatt,Meet Bros,Pranay Rijia,Honey Singh","Ekta Kapoor,Shobha Kapoor",ALT Entertainment,21-Mar-14,119,"Suhani Kanwar,Tanveer Bookwala",2300,"Suhani Kanwar,Tanveer Bookwala",Ragini MMS 2
Hardik Sha,NA,NA,NA,NA,NA,"

",10000000,Saad Khan,Saad Khan,125000,935000,600000,Thriller,1450000,NA,NA,Sumit Ghosh,Sumit Ghosh Media,28-Mar-14,104,Saad Khan,10,Saad Khan,Station
Pulkit Samrat,Bilal Amrohi,Sarah Jane Dias,Anupam Kher,Mandira Bedi,NA,Manoj Pahwa,150000000,"Umesh Bist,Neeti Palta,Atul Agnihotri",Umesh Bist,--,35400000,--,Comedy,48200000,"Kumaar,Abhinav Chaturvedi,Akshay Saxena,Manish Tipu","G.J. Singh,Hard Kaur,Rajiv Bhalla","Atul Agnihotri,Alvira Agnihotri",Reel Life Productions,28-Mar-14,107,"Neeti Palta,Atul Agnihotri,Umesh Bist",900,"Umesh Bist,Neeti Palta",O Teri
Jacky Bhagnani,Neha Sharma,Farooque Shaikh,Boman Irani,Kayoze Irani,Prakash Belawadi,Mita Vashisht,280000000,"Maitrey Bajpai,Ramiz Ilham Khan,Syed Ahmed Afzal",Syed Ahmed Afzal,12000000,62400000,40300000,Drama,94500000,"Shakeel Sohail,Syed Ahmed Afzal,Sonny Ravan,Hard Kaur,Jacky Bhagnani,Siddharth Banerjee,Kausar Munir,Shiraz Uppal,Sneha Khanwalkar","Jeet Ganguly,Sneha Khanwalkar,Shiraz Uppal,Shree - Isshq",Vashu Bhagnani,MSM Motion Pictures,28-Mar-14,133,"Syed Ahmed Afzal,Ramiz Ilham Khan,Maitrey Bajpai",1000,"Syed Ahmed Afzal,Ramiz Ilham Khan, Maitrey Bajpai",Youngistaan
Harman Baweja,Ayesha Khanna,Prashant Narayanan,Sumeet Nijhawan,Aditya Pancholi,Anand Tiwari,Hasan Zaidi,39000000,Sanamjit Talwar,Sanamjit Talwar,10200000,44300000,30400000,Thriller,62300000,Sanamjit Talwar,"Sneha Khanwalkar,Palash Muchhal","Sunil Lulla,Shilpa Shetty",Eros International,28-Mar-14,119,Sanamjit Talwar,1550,Sanamjit Talwar,Dishkiyaoon
Swaroop Kanchi,NA,NA,NA,"

",NA,NA,5000000,Swaroop Kanchi,Swaroop Kanchi,--,--,--,Drama,165000,Swaroop Kanchi,Swaroop Kanchi,Swaroop Kanchi,Tapas Films,07-Mar-14,0,Swaroop Kanchi,5,Swaroop Kanchi,Yeh Dil Ramta Jogi
Arjun Chakraborty,NA,NA,NA,NA,NA,"

",2500000,NA,Raaj Mukherjee,--,--,--,Mystery,400000,NA,Shubayu,Shankar Kanti Bhowmik,Purple Motion Pictures,04-Apr-14,0,NA,25,NA,Chalo Picnic Manayen
Omkar Das Manikpuri,Rajeev Verma,Dev Gohar,Satyendra Khare,Nazea Sayed,NA,NA,30000000,"Varun Middha,Abhishek Bhola",Varun Middha,--,--,--,Comedy,550000,"Satvir,Abhishek Bhola,Satyendra Khare",Tarannum Malik,Gurdev K. Aneja,Water Entertainment Production,04-Apr-14,124,Varun Middha,50,Varun Middha,Ebn-E-Batuta
Purab Kohli,Kirti Kulhari,Saidah Jules,Tannishtha Chatterjee,Mukul Dev,Ravi Gosain,Yashpal Sharma,60000000,"Girish Malik,Rakesh Mishra,Jagdeep Singh Sidhu",Girish Malik,850000,4825000,3100000,Drama,7000000,"Sanjeev Tiwari,Sonu Nigam","Bikram Ghosh,Sonu Nigam","Sumit Kapoor,Girish Malik,Puneet Singh,Yogesh Mittal",Clapstream Productions,04-Apr-14,135,"Rakesh Mishra,Girish Malik",275,Rakesh Mishra,Jal
Varun Dhawan,Ileana D'Cruz,Nargis Fakhri,Arunoday Singh,Anupam Kher,Evelyn Sharma,Saurabh Shukla,410000000,Milap Zaveri,David Dhawan,61300000,372100000,220800000,Comedy,718200000,"Kumaar,Kausar Munir,Danish Sabri",Sajid - Wajid,"Ekta Kapoor,Shobha Kapoor",Balaji Motion Pictures,04-Apr-14,128,Tushar Hiranandani,2400,NA,Main Tera Hero
